STATIONS_ID,MESS_DATUM,QN_3,FX.Windspitze,FM.Windgeschwindigkeit,QN_4,RSK.Niederschlagshoehe,RSKF.Niederschlagsform,SDK.Sonnenscheindauer,SHK_TAG.Schneehoehe,NM.Bedeckungsgrad,VPM.Dampfdruck,PM.Luftdruck,TMK.Lufttemperatur,UPM.Relative_Feuchte,TXK.Lufttemperatur_Max,TNK.Lufttemperatur_Min,TGK.Lufttemperatur_5cm_min,eor
1580,2023-12-29T00:00:00Z,10,13.6,3.8,9,1,6,0,0,7.8,9.2,1000.7,9.6,77,11.2,7.3,3.7,eor
1580,2023-12-30T00:00:00Z,10,9.6,2.4,9,0,6,2,0,7.7,8.8,1001.8,8.8,78,11,6.7,3.2,eor
1580,2023-12-31T00:00:00Z,10,9.1,2.9,9,2.9,6,0,0,7.7,8.3,992.4,7.3,81,8.9,5.5,4,eor
1580,2024-01-01T00:00:00Z,10,10.3,3.1,9,5.7,6,1,0,7.5,7.9,995.5,6.9,79,8.9,5.2,2.4,eor
1580,2024-01-02T00:00:00Z,10,13.9,4.4,9,6.2,6,0,0,7.7,9.7,985.7,8.9,84,11.4,6.8,5.9,eor
1580,2024-01-03T00:00:00Z,10,17.6,4.4,9,2.9,6,3.4,0,6.9,9.3,983.2,10.4,74,13,8,7.1,eor
1580,2024-01-04T00:00:00Z,10,13.4,4.2,9,0,6,3.1,0,7.5,8.2,991.3,8.5,74,10.6,5.4,2.6,eor
1580,2024-01-05T00:00:00Z,10,10.2,1.9,9,0,0,1.7,0,7.3,7.6,989.9,6.3,80,10.2,2.3,-0.1,eor
1580,2024-01-06T00:00:00Z,10,11.1,2.2,9,0.4,6,0,0,7.8,7.2,995.6,4.8,84,6.5,3.4,3,eor
1580,2024-01-07T00:00:00Z,10,10.8,3.9,9,0.1,8,0,0,7.9,5.4,1005.5,2.2,73,4.2,-1,-1.9,eor
1580,2024-01-08T00:00:00Z,10,9.2,2.7,9,0,7,2.9,0,6.5,3.2,1013.8,-1.6,58,0.6,-5.6,-7.9,eor
