STATIONS_ID,MESS_DATUM,QN_3,FX.Windspitze,FM.Windgeschwindigkeit,QN_4,RSK.Niederschlagshoehe,RSKF.Niederschlagsform,SDK.Sonnenscheindauer,SHK_TAG.Schneehoehe,NM.Bedeckungsgrad,VPM.Dampfdruck,PM.Luftdruck,TMK.Lufttemperatur,UPM.Relative_Feuchte,TXK.Lufttemperatur_Max,TNK.Lufttemperatur_Min,TGK.Lufttemperatur_5cm_min,eor
1580,1884-07-01T00:00:00Z,,,,1,0,0,,,1,,1009.5,20.7,61,28.4,12,,eor
1580,1884-07-02T00:00:00Z,,,,1,0,1,,,3.7,,1004.9,23.2,61,30.8,14.7,,eor
1580,1884-07-03T00:00:00Z,,,,1,0,1,,,4.3,,1003.3,23.9,62,31.5,16.4,,eor
1580,1884-07-04T00:00:00Z,,,,1,0,0,,,2,,1003.3,23.6,58,34.4,15.4,,eor
1580,1884-07-05T00:00:00Z,,,,1,0.4,1,,,4.7,,1002.6,23.7,60,31.9,15.5,,eor
1580,1884-07-06T00:00:00Z,,,,1,0,0,,,5.7,,1004.5,22.2,59,27.8,17.1,,eor
1580,1884-07-07T00:00:00Z,,,,1,0,0,,,2,,1004.8,20.2,55,27.7,12.4,,eor
1580,1884-07-08T00:00:00Z,,,,1,0,1,,,1.3,,1002.1,21.3,56,29.4,11.8,,eor
1580,1884-07-09T00:00:00Z,,,,1,3.8,1,,,4,,999.6,24.2,50,31,16.8,,eor
1580,1884-07-10T00:00:00Z,,,,1,1.6,1,,,5.3,,994.8,23.3,73,32.1,16.8,,eor
1580,1884-07-11T00:00:00Z,,,,1,0,1,,,3.7,,999.9,20.3,63,26.3,16.4,,eor
1580,1884-07-12T00:00:00Z,,,,1,0,1,,,0.7,,1003.2,22.5,59,31.9,12.8,,eor
1580,1884-07-13T00:00:00Z,,,,1,7.4,1,,,3.3,,1003.2,26.3,55,35.2,16.4,,eor
1580,1884-07-14T00:00:00Z,,,,1,0,1,,,5,,1005.1,21.9,75,28,20.2,,eor
1580,1884-07-15T00:00:00Z,,,,1,0.9,1,,,2,,1003.9,22.2,67,30.4,15.2,,eor
