STATIONS_ID,MESS_DATUM,MESS_DATUM_BEGINN,MESS_DATUM_ENDE,QN_4,MO_N.Bedeckungsgrad,MO_TT.Lufttemperatur,MO_TX.Lufttemperatur_Max,MO_TN.Lufttemperatur_Min,MO_FK.Windstaerke,MX_TX.Lufttemperatur_AbsMax,MX_FX.Windspitze,MX_TN.Lufttemperatur_AbsMin,MO_SD_S.Sonnenscheindauer,QN_6,MO_RR.Niederschlagshoehe,MX_RS.Niederschlagshoehe_Max,eor
1580,1884-07-15T00:00:00Z,18840701,18840731,1,3.9,20.23,27.29,13.95,,35.2,,7.2,,1,49.5,12,eor
1580,1884-08-15T00:00:00Z,18840801,18840831,1,3.88,18.95,25.55,12.61,,34.4,,5.6,,1,46.5,9.9,eor
1580,1884-09-15T00:00:00Z,18840901,18840930,1,3.6,15.49,22.06,9.4,,28.7,,4.7,,1,16.7,5.3,eor
1580,1884-10-15T00:00:00Z,18841001,18841031,1,5.84,9.41,13,6.08,,22.6,,0.4,,1,46.2,11,eor
1580,1884-11-15T00:00:00Z,18841101,18841130,1,5.09,3.68,6.62,1.03,1.61,15.9,,-8.4,,1,7.9,2.1,eor
1580,1884-12-15T00:00:00Z,18841201,18841231,1,7.11,3.65,5.08,1.73,2.19,11.7,,-8,,1,71.7,23.3,eor
1580,1885-01-15T00:00:00Z,18850101,18850131,1,4.54,-0.43,2.33,-3.79,1.39,9.6,,-11.2,,1,18.5,6,eor
1580,1885-02-15T00:00:00Z,18850201,18850228,1,6.1,4.72,8.03,1.09,1.49,15.5,,-3.5,,1,43.3,14.9,eor
1580,1885-03-15T00:00:00Z,18850301,18850331,1,4.36,4.47,9.27,0,1.93,16.2,,-5.1,,1,39.3,16,eor
1580,1885-04-15T00:00:00Z,18850401,18850430,1,4.14,10.75,17.04,5.48,1.9,25.5,,-0.6,,1,57.4,20.2,eor
1580,1885-05-15T00:00:00Z,18850501,18850531,1,5.17,10.87,16.56,6.04,2,30,,0.6,,1,50.2,19.1,eor
1580,1885-06-15T00:00:00Z,18850601,18850630,1,2.99,18.06,24.99,12.02,1.77,31.8,,5,,1,61.9,26.2,eor
1580,1885-07-15T00:00:00Z,18850701,18850731,1,3.52,18.52,25.01,13.27,1.69,31.7,,8.7,,1,68,36.5,eor
1580,1885-08-15T00:00:00Z,18850801,18850831,1,4,16.12,23.05,10.89,1.68,30,,5.9,,1,39.7,14.4,eor
